team,code,date,opponent,opponentCode,goalsFor,goalsAgainst,score,result,competition
Mexico,MEX,2026-05-30,Ecuador,ECU,0,0,0-0,D,Liga das Nações
Mexico,MEX,2026-04-30,Korea Republic,KOR,2,1,2-1,W,Amistoso Internacional
Mexico,MEX,2026-04-01,New Zealand,NZL,0,0,0-0,D,Liga das Nações
Mexico,MEX,2026-02-22,Ghana,GHA,2,1,2-1,W,Eliminatórias Copa
Mexico,MEX,2026-01-28,Sweden,SWE,1,1,1-1,D,Liga das Nações
Mexico,MEX,2025-12-26,France,FRA,1,4,1-4,L,Liga das Nações
Mexico,MEX,2025-11-25,Bosnia and Herzegovina,BIH,2,1,2-1,W,Eliminatórias Copa
Mexico,MEX,2025-11-02,Iraq,IRQ,1,2,1-2,L,Liga das Nações
Mexico,MEX,2025-09-29,Saudi Arabia,KSA,4,3,4-3,W,Amistoso Internacional
Mexico,MEX,2025-09-03,Australia,AUS,1,0,1-0,W,Liga das Nações
South Africa,RSA,2026-05-26,Ghana,GHA,1,0,1-0,W,Liga das Nações
South Africa,RSA,2026-04-26,Cabo Verde,CPV,1,1,1-1,D,Eliminatórias Copa
South Africa,RSA,2026-03-23,Germany,GER,0,2,0-2,L,Liga das Nações
South Africa,RSA,2026-02-23,IR Iran,IRN,0,1,0-1,L,Amistoso Internacional
South Africa,RSA,2026-01-24,Germany,GER,2,0,2-0,W,Eliminatórias Copa
South Africa,RSA,2025-12-24,Ghana,GHA,1,1,1-1,D,Liga das Nações
South Africa,RSA,2025-11-24,Australia,AUS,1,1,1-1,D,Copa Continental
South Africa,RSA,2025-10-29,Ghana,GHA,2,2,2-2,D,Copa Continental
South Africa,RSA,2025-10-01,Germany,GER,0,2,0-2,L,Amistoso Internacional
South Africa,RSA,2025-08-31,Croatia,CRO,0,0,0-0,D,Amistoso Internacional
Korea Republic,KOR,2026-05-28,Japan,JPN,0,1,0-1,L,Liga das Nações
Korea Republic,KOR,2026-04-24,Congo DR,COD,1,1,1-1,D,Amistoso Internacional
Korea Republic,KOR,2026-03-31,France,FRA,1,2,1-2,L,Liga das Nações
Korea Republic,KOR,2026-03-01,Ghana,GHA,1,1,1-1,D,Amistoso Internacional
Korea Republic,KOR,2026-01-26,Sweden,SWE,1,2,1-2,L,Liga das Nações
Korea Republic,KOR,2026-01-02,Switzerland,SUI,2,1,2-1,W,Eliminatórias Copa
Korea Republic,KOR,2025-11-23,Bosnia and Herzegovina,BIH,1,1,1-1,D,Copa Continental
Korea Republic,KOR,2025-10-29,New Zealand,NZL,1,1,1-1,D,Eliminatórias Copa
Korea Republic,KOR,2025-09-24,Norway,NOR,0,1,0-1,L,Amistoso Internacional
Korea Republic,KOR,2025-09-04,Brazil,BRA,2,1,2-1,W,Eliminatórias Copa
Czechia,CZE,2026-06-01,Tunisia,TUN,0,0,0-0,D,Eliminatórias Copa
Czechia,CZE,2026-04-29,Croatia,CRO,0,2,0-2,L,Eliminatórias Copa
Czechia,CZE,2026-03-25,Saudi Arabia,KSA,2,2,2-2,D,Eliminatórias Copa
Czechia,CZE,2026-02-27,Switzerland,SUI,1,2,1-2,L,Liga das Nações
Czechia,CZE,2026-02-01,Switzerland,SUI,1,1,1-1,D,Amistoso Internacional
Czechia,CZE,2025-12-23,Croatia,CRO,2,2,2-2,D,Copa Continental
Czechia,CZE,2025-11-26,Portugal,POR,0,1,0-1,L,Copa Continental
Czechia,CZE,2025-11-01,Croatia,CRO,1,0,1-0,W,Eliminatórias Copa
Czechia,CZE,2025-10-02,United States,USA,2,0,2-0,W,Liga das Nações
Czechia,CZE,2025-08-25,Uzbekistan,UZB,1,1,1-1,D,Amistoso Internacional
Canada,CAN,2026-05-25,Senegal,SEN,0,0,0-0,D,Copa Continental
Canada,CAN,2026-05-01,Belgium,BEL,1,0,1-0,W,Eliminatórias Copa
Canada,CAN,2026-03-23,Bosnia and Herzegovina,BIH,1,0,1-0,W,Eliminatórias Copa
Canada,CAN,2026-02-22,Panama,PAN,1,0,1-0,W,Liga das Nações
Canada,CAN,2026-01-29,South Africa,RSA,1,2,1-2,L,Copa Continental
Canada,CAN,2025-12-30,Tunisia,TUN,2,2,2-2,D,Eliminatórias Copa
Canada,CAN,2025-11-24,Czechia,CZE,4,1,4-1,W,Eliminatórias Copa
Canada,CAN,2025-11-02,Korea Republic,KOR,2,1,2-1,W,Amistoso Internacional
Canada,CAN,2025-09-26,Czechia,CZE,0,0,0-0,D,Copa Continental
