team,date,home,away,score,status,competition
Brasil,2026-06-06,Brasil,Egito,2 - 1,Finalizado,Amistoso internacional
Brasil,2026-05-31,Brasil,Panamá,6 - 2,Finalizado,Amistoso internacional
Brasil,2026-03-31,Brasil,Croácia,3 - 1,Finalizado,Amistoso internacional
Brasil,2026-03-26,Brasil,França,1 - 2,Finalizado,Amistoso internacional
Brasil,2025-11-18,Brasil,Tunísia,1 - 1,Finalizado,Amistoso internacional
Brasil,2025-11-15,Brasil,Senegal,2 - 0,Finalizado,Amistoso internacional
Brasil,2025-10-14,Japão,Brasil,3 - 2,Finalizado,Amistoso internacional
Brasil,2025-10-10,Coreia do Sul,Brasil,0 - 5,Finalizado,Amistoso internacional
Brasil,2025-09-09,Bolívia,Brasil,1 - 0,Finalizado,Eliminatórias da Copa
Brasil,2025-09-04,Brasil,Chile,3 - 0,Finalizado,Eliminatórias da Copa
